pixelID x y
337 33.0 3.0
338 34.0 3.0
339 35.0 3.0
340 36.0 3.0
341 37.0 3.0
342 38.0 3.0
343 39.0 3.0
344 40.0 3.0
345 41.0 3.0
346 42.0 3.0
347 43.0 3.0
348 44.0 3.0
349 45.0 3.0
350 46.0 3.0
351 47.0 3.0
352 48.0 3.0
353 49.0 3.0
354 50.0 3.0
355 -1.0 3.0
356 -2.0 3.0
357 -3.0 3.0
358 -4.0 3.0
359 -5.0 3.0
360 -6.0 3.0
361 -7.0 3.0
362 -8.0 3.0
363 -9.0 3.0
364 -10.0 3.0
365 -11.0 3.0
366 -12.0 3.0
367 -13.0 3.0
368 -14.0 3.0
369 -15.0 3.0
370 -16.0 3.0
371 -17.0 3.0
372 -18.0 3.0
373 -19.0 3.0
374 -20.0 3.0
375 -21.0 3.0
376 -22.0 3.0
377 -23.0 3.0
378 -24.0 3.0
379 -25.0 3.0
380 -26.0 3.0
381 -27.0 3.0
382 -28.0 3.0
383 -29.0 3.0
384 -30.0 3.0
385 -31.0 3.0
386 -32.0 3.0
387 -33.0 3.0
388 -34.0 3.0
389 -35.0 3.0
390 -36.0 3.0
391 -37.0 3.0
392 -38.0 3.0
393 -39.0 3.0
394 -40.0 3.0
395 -41.0 3.0
396 -42.0 3.0
397 -43.0 3.0
398 -44.0 3.0
399 -45.0 3.0
400 -46.0 3.0
401 -47.0 3.0
402 -48.0 3.0
403 -49.0 3.0
404 -50.0 3.0
405 0 4.0
406 1.0 4.0
407 2.0 4.0
408 3.0 4.0
409 4.0 4.0
410 5.0 4.0
411 6.0 4.0
412 7.0 4.0
413 8.0 4.0
414 9.0 4.0
415 10.0 4.0
416 11.0 4.0
417 12.0 4.0
418 13.0 4.0
419 14.0 4.0
420 15.0 4.0
421 16.0 4.0
422 17.0 4.0
423 18.0 4.0
424 19.0 4.0
425 20.0 4.0
426 21.0 4.0
427 22.0 4.0
428 23.0 4.0
429 24.0 4.0
430 25.0 4.0
431 26.0 4.0
432 27.0 4.0
433 28.0 4.0
434 29.0 4.0
435 30.0 4.0
436 31.0 4.0
437 32.0 4.0
438 33.0 4.0
439 34.0 4.0
440 35.0 4.0
441 36.0 4.0
442 37.0 4.0
443 38.0 4.0
444 39.0 4.0
445 40.0 4.0
446 41.0 4.0
447 42.0 4.0
448 43.0 4.0
449 44.0 4.0
450 45.0 4.0
451 46.0 4.0
452 47.0 4.0
453 48.0 4.0
454 49.0 4.0
455 50.0 4.0
456 -1.0 4.0
457 -2.0 4.0
458 -3.0 4.0
459 -4.0 4.0
460 -5.0 4.0
461 -6.0 4.0
462 -7.0 4.0
463 -8.0 4.0
464 -9.0 4.0
465 -10.0 4.0
466 -11.0 4.0
467 -12.0 4.0
468 -13.0 4.0
469 -14.0 4.0
470 -15.0 4.0
471 -16.0 4.0
472 -17.0 4.0
473 -18.0 4.0
474 -19.0 4.0
475 -20.0 4.0
476 -21.0 4.0
477 -22.0 4.0
478 -23.0 4.0
479 -24.0 4.0
480 -25.0 4.0
481 -26.0 4.0
482 -27.0 4.0
483 -28.0 4.0
484 -29.0 4.0
485 -30.0 4.0
486 -31.0 4.0
487 -32.0 4.0
488 -33.0 4.0
489 -34.0 4.0
490 -35.0 4.0
491 -36.0 4.0
492 -37.0 4.0
493 -38.0 4.0
494 -39.0 4.0
495 -40.0 4.0
496 -41.0 4.0
497 -42.0 4.0
498 -43.0 4.0
499 -44.0 4.0
500 -45.0 4.0
501 -46.0 4.0
502 -47.0 4.0
503 -48.0 4.0
504 -49.0 4.0
505 -50.0 4.0
506 0 5.0
507 1.0 5.0
508 2.0 5.0
509 3.0 5.0
510 4.0 5.0
511 5.0 5.0
512 6.0 5.0
513 7.0 5.0
514 8.0 5.0
515 9.0 5.0
516 10.0 5.0
517 11.0 5.0
518 12.0 5.0
519 13.0 5.0
520 14.0 5.0
521 15.0 5.0
522 16.0 5.0
523 17.0 5.0
524 18.0 5.0
525 19.0 5.0
526 20.0 5.0
527 21.0 5.0
528 22.0 5.0
529 23.0 5.0
530 24.0 5.0
531 25.0 5.0
532 26.0 5.0
533 27.0 5.0
534 28.0 5.0
535 29.0 5.0
536 30.0 5.0
537 31.0 5.0
538 32.0 5.0
539 33.0 5.0
540 34.0 5.0
541 35.0 5.0
542 36.0 5.0
543 37.0 5.0
544 38.0 5.0
545 39.0 5.0
546 40.0 5.0
547 41.0 5.0
548 42.0 5.0
549 43.0 5.0
550 44.0 5.0
551 45.0 5.0
552 46.0 5.0
553 47.0 5.0
554 48.0 5.0
555 49.0 5.0
556 50.0 5.0
557 -1.0 5.0
558 -2.0 5.0
559 -3.0 5.0
560 -4.0 5.0
561 -5.0 5.0
562 -6.0 5.0
563 -7.0 5.0
564 -8.0 5.0
565 -9.0 5.0
566 -10.0 5.0
567 -11.0 5.0
568 -12.0 5.0
569 -13.0 5.0
570 -14.0 5.0
571 -15.0 5.0
572 -16.0 5.0
573 -17.0 5.0
574 -18.0 5.0
575 -19.0 5.0
576 -20.0 5.0
577 -21.0 5.0
578 -22.0 5.0
579 -23.0 5.0
580 -24.0 5.0
581 -25.0 5.0
582 -26.0 5.0
583 -27.0 5.0
584 -28.0 5.0
585 -29.0 5.0
586 -30.0 5.0
587 -31.0 5.0
588 -32.0 5.0
589 -33.0 5.0
590 -34.0 5.0
591 -35.0 5.0
592 -36.0 5.0
593 -37.0 5.0
594 -38.0 5.0
595 -39.0 5.0
596 -40.0 5.0
597 -41.0 5.0
598 -42.0 5.0
599 -43.0 5.0
600 -44.0 5.0
601 -45.0 5.0
602 -46.0 5.0
603 -47.0 5.0
604 -48.0 5.0
605 -49.0 5.0
606 -50.0 5.0
607 0 6.0
608 1.0 6.0
609 2.0 6.0
610 3.0 6.0
611 4.0 6.0
612 5.0 6.0
613 6.0 6.0
614 7.0 6.0
615 8.0 6.0
616 9.0 6.0
617 10.0 6.0
618 11.0 6.0
619 12.0 6.0
620 13.0 6.0
621 14.0 6.0
622 15.0 6.0
623 16.0 6.0
624 17.0 6.0
625 18.0 6.0
626 19.0 6.0
627 20.0 6.0
628 21.0 6.0
629 22.0 6.0
630 23.0 6.0
631 24.0 6.0
632 25.0 6.0
633 26.0 6.0
634 27.0 6.0
635 28.0 6.0
636 29.0 6.0
637 30.0 6.0
638 31.0 6.0
639 32.0 6.0
640 33.0 6.0
641 34.0 6.0
642 35.0 6.0
643 36.0 6.0
644 37.0 6.0
645 38.0 6.0
646 39.0 6.0
647 40.0 6.0
648 41.0 6.0
649 42.0 6.0
650 43.0 6.0
651 44.0 6.0
652 45.0 6.0
653 46.0 6.0
654 47.0 6.0
655 48.0 6.0
656 49.0 6.0
657 50.0 6.0
658 -1.0 6.0
659 -2.0 6.0
660 -3.0 6.0
661 -4.0 6.0
662 -5.0 6.0
663 -6.0 6.0
664 -7.0 6.0
665 -8.0 6.0
666 -9.0 6.0
667 -10.0 6.0
668 -11.0 6.0
669 -12.0 6.0
670 -13.0 6.0
671 -14.0 6.0
672 -15.0 6.0
673 -16.0 6.0
674 -17.0 6.0
675 -18.0 6.0
676 -19.0 6.0
677 -20.0 6.0
678 -21.0 6.0
679 -22.0 6.0
680 -23.0 6.0
681 -24.0 6.0
682 -25.0 6.0
683 -26.0 6.0
684 -27.0 6.0
685 -28.0 6.0
686 -29.0 6.0
687 -30.0 6.0
688 -31.0 6.0
689 -32.0 6.0
690 -33.0 6.0
691 -34.0 6.0
692 -35.0 6.0
693 -36.0 6.0
694 -37.0 6.0
695 -38.0 6.0
696 -39.0 6.0
697 -40.0 6.0
698 -41.0 6.0
699 -42.0 6.0
700 -43.0 6.0
701 -44.0 6.0
702 -45.0 6.0
703 -46.0 6.0
704 -47.0 6.0
705 -48.0 6.0
706 -49.0 6.0
707 -50.0 6.0
708 0 7.0
709 1.0 7.0
710 2.0 7.0
711 3.0 7.0
712 4.0 7.0
713 5.0 7.0
714 6.0 7.0
715 7.0 7.0
716 8.0 7.0
717 9.0 7.0
718 10.0 7.0
719 11.0 7.0
720 12.0 7.0
721 13.0 7.0
722 14.0 7.0
